postnummer,NDI,NDI_rank
47198,-.017755643,.52367443
47231,.34988093,.68313444
47232,-1.0640448,.13480727
47291,-.11109202,.4805322
47292,-.39007276,.34905106
47293,-.1751918,.45030326
47294,.38008001,.69428682
47295,-.029239807,.51829386
47296,-.53283483,.29250637
47297,-.019132782,.52328312
47298,.15358531,.60399139
47331,-.037497431,.51369596
47332,-.89536619,.17716689
47333,-.049351726,.50723928
47334,-.1975226,.44052044
47391,-.055379841,.50410879
47392,-.048373714,.50792408
47393,-.066965863,.49911955
47394,.044315919,.55292505
47395,-.22945289,.42545491
47396,-.44211754,.32674623
47397,-.042255972,.51144588
47398,.10014036,.57933867
47399,.3329086,.67687339
47431,-1.2663463,.096654274
47432,-.86692423,.18381922
47470,-.92467541,.17002544
47471,.1531425,.6036979
47474,-.27786621,.40217179
47491,-.64382046,.24985325
47492,-.093149357,.48874974
47493,-.38414121,.35208374
47494,-.66571552,.24173352
47495,-.6798203,.23645079
47496,.030636929,.54685974
47531,.1454253,.60046959
47532,.32124048,.67266679
47535,1.209949,.89845431
47536,.4829793,.73165721
47537,.7628265,.80991977
47540,-.28805795,.39639992
47541,.49138188,.7337116
47542,.20099264,.62551361
47545,.13675098,.5970456
47550,.51517689,.74163568
47551,.055952679,.55810994
47552,-.26850331,.40676972
47553,-.16264528,.45695558
50330,.98056728,.85560554
50331,-.26258686,.40950891
50332,-.13257515,.47065154
50333,.11593375,.58687145
50334,.18107444,.61563295
50335,.40431947,.70328701
50336,-.28855428,.39600861
50337,.14707983,.60105652
50338,1.2102224,.89855212
50342,.17910966,.61524165
50343,-.16173024,.45734689
50430,-.22423039,.42780277
50431,-.40839291,.34112698
50432,-1.3538303,.083153978
50433,.03775055,.54989237
50434,.29553944,.6639601
50435,-2.1509149,.021228723
50437,-1.9464518,.028761495
50438,-1.743909,.04314224
50439,.14935194,.60252398
50441,-.30206111,.39013892
50442,-1.2374808,.10105655
50443,-.96123439,.15936217
50444,.30976549,.66797101
50445,.041582357,.55194676
50446,.092660435,.57562119
50447,-.1922992,.44325963
50450,-.033457231,.51614165
50451,-.33830649,.37321463
50452,-.015818996,.52484834
50453,.13029101,.59381723
50454,.58876157,.7662884
50455,-.67917824,.23674427
50456,.32154429,.6727646
50457,.89206582,.837116
50458,.55254745,.75357074
50460,-.65913647,.24408139
50461,-.33626243,.37380162
50462,-.99129289,.15202504
50463,.61656415,.77431029
50465,.025965037,.54519665
50466,.27678096,.65662295
50467,.087902293,.57405597
50468,-.014717654,.52543533
50470,.84162146,.82684404
50471,1.0963067,.87644297
50472,1.1010778,.87751907
50475,.50943834,.74007046
50478,.11396778,.58618665
50490,.47450408,.72872233
50491,.28805605,.66122091
50492,-.14191496,.4663471
50493,.17071283,.61201328
50494,.62276375,.77548426
50495,.33103538,.67638427
50496,.32406327,.67374289
50497,.20477577,.62815493
50630,-1.5608976,.058892585
50631,-.674357,.23879866
50632,.89949173,.83926827
50634,.30823132,.66728622
50635,.10029487,.57943648
50636,.30918944,.6678732
50637,.13179024,.59440422
50638,-.10865135,.48180395
50639,-.44368425,.32625708
50640,-1.4804896,.065936215
50641,-.66113424,.24310312
50642,-1.1951667,.10917629
50643,-1.4120808,.075816862
50644,-.77510422,.20915672
50646,-.94936877,.16298181
50647,-.26345253,.40911758
50648,-1.1157032,.12424183
50649,.22299533,.63480729
50670,.51078057,.74026608
50730,.93872571,.84650755
50731,.49777263,.7361573
50732,1.0643231,.87135589
50733,1.1406491,.88642144
50734,.58949435,.76658189
50740,-1.355422,.082762666
50741,-2.207731,.018391704
50742,-.67743647,.23782039
50743,-.04569447,.50958717
50744,-1.7438376,.04324007
50745,-.98337209,.15427509
50750,-1.55112,.060164351
50751,.20528561,.6285463
50752,.37959549,.6940912
50753,-.8360967,.19223244
50760,.076868065,.56926239
